
-196.282906326 156.381226008 [45, 58]
-65.7942030658 60.343634445 [62, 61]
-43.3090756277 2.29028462979 [78, 72]
282.726580804 -20.3668314697 [83, 103]
381.126337916 -24.6702188748 [101, 95]
115.679299296 -3.98014427032 [73, 93]
-48.6025214546 49.098920625 [61, 71]

230.625 2.65625 [95, 85]
176.625 133.15625 [77, 39]
21.9825 29.245625 [77, 68]

82.4381855192 -32.5874288834 [95, 85]
-93.7919329413 -9.25871822245 [77, 68]

100.496420497 -20.9315024799 [95, 85]
-86.3404879113 4.29876537637 [77, 68]

264.43358028 8.46202549337 [95, 85]
82.8973671283 33.3018659124 [77, 68]
2.745 58.18625 [63, 67]

258.451466658 10.1629175193 [95, 85]
78.6348974395 34.7373629904 [77, 68]
-0.758207779405 59.3558762144 [63, 67]

240.07756397 -10.1182366309 [95, 85]
62.717595975 14.8610978695 [77, 68]
-15.5908639283 39.885226184 [63, 67]
41.6925 16.173125 [74, 79]
24.9525 20.988125 [75, 74]
154.485 10.62125 [75, 93]

245.226192524 -9.89014958766 [95, 85]
61.6777247895 15.4305894908 [77, 68]
-19.3630985057 40.796734602 [63, 67]
39.9190145584 16.7605487271 [74, 79]
22.5949172178 21.6413576478 [75, 74]
156.647105914 11.1327935813 [75, 93]

242.471113428 -8.35184505102 [95, 85]
64.3997723078 16.1734502028 [77, 68]
-14.2227750106 40.7427250717 [63, 67]
43.2903467718 17.4616291475 [74, 79]
26.483204303 22.1891088426 [75, 74]
156.535246229 12.0106683309 [75, 93]

257.978353748 -11.4800217216 [95, 85]
80.5277583462 13.1638289724 [77, 68]
2.17928438133 37.8518718793 [63, 67]
59.4919189663 14.4582349827 [74, 79]
42.7433651602 19.208567346 [75, 74]
172.342053685 8.98092418526 [75, 93]
252.2925 1.323125 [89, 94]

233.238079128 -11.9398493846 [95, 85]
59.9393044845 12.0809666326 [77, 68]
-16.5760461827 36.1448576152 [63, 67]
39.3956417267 13.3426480561 [74, 79]
23.0389547001 17.9728846672 [75, 74]
149.605416006 8.00381215066 [75, 93]
227.685257594 0.539613977666 [89, 94]

253.091197276 -6.56271480639 [95, 85]
81.9796691384 17.1000373332 [77, 68]
6.43003755214 40.8052223455 [63, 67]
61.6952930066 18.3429116295 [74, 79]
45.5450477545 22.9041280843 [75, 74]
170.514082588 13.0836585444 [75, 93]
247.60845927 5.73072469061 [89, 94]

258.425865134 -2.23061209418 [95, 85]
89.8562431861 21.3094061983 [77, 68]
15.4289209977 44.891637273 [63, 67]
69.8731967297 22.5458339603 [74, 79]
53.9628675651 27.0833923199 [75, 74]
177.075454931 17.3138595434 [75, 93]
253.024574626 9.99906385096 [89, 94]
6.8625 61.465625 [61, 68]

271.229337485 1.62119341658 [95, 85]
100.931660763 25.3651777071 [77, 68]
25.7413630884 49.1517405387 [63, 67]
80.7437624576 26.6123186818 [74, 79]
64.6703320182 31.1891933922 [75, 74]
189.044981266 21.3350110425 [75, 93]
265.772676822 13.9568352122 [89, 94]
17.0871252912 65.8693360533 [61, 68]
42.5025 43.375625 [80, 61]

281.258208013 -0.339941376858 [95, 85]
111.891544571 23.5376521268 [77, 68]
37.1123104341 47.4580637643 [63, 67]
91.8140130165 24.791810859 [74, 79]
75.8284556324 29.3944399931 [75, 74]
199.523151681 19.4848074066 [75, 93]
275.831378782 12.0651140174 [89, 94]
28.5053851455 64.2697304658 [61, 68]
53.7818146156 41.6494455823 [80, 61]

318.85348838 7.1488249867 [95, 85]
147.165132047 31.0577920006 [77, 68]
71.3608176934 55.0096334084 [63, 67]
126.812375952 32.3135986108 [74, 79]
110.607687163 36.922275282 [75, 74]
235.998000817 26.9996221221 [75, 93]
313.352267704 19.5701797677 [89, 94]
62.6359079276 71.8433894799 [61, 68]
88.2588288819 49.1933831029 [80, 61]
41.9625 106.240625 [56, 57]

317.415784934 10.2760048805 [95, 85]
146.8180738 33.8049878322 [77, 68]
71.4953041067 57.3761637771 [63, 67]
126.594607984 35.0408359684 [74, 79]
110.492859001 39.576267163 [75, 74]
235.086634402 29.8113142522 [75, 93]
311.9495106 22.4999476677 [89, 94]
62.8258190718 73.9423817735 [61, 68]
88.2859711797 51.6523508579 [80, 61]
42.2837383556 107.792943685 [56, 57]

288.017170251 5.9902385357 [95, 85]
115.401095593 29.6216957705 [77, 68]
39.1871724973 53.295529759 [63, 67]
94.9383633455 30.8629263175 [74, 79]
78.6461124929 35.4181103871 [75, 74]
282.48622372 18.2674194836 [89, 94]
30.4151176667 69.933897551 [61, 68]
56.176492118 47.5467882813 [80, 61]
9.63000094413 103.931886662 [56, 57]
177.3 7.325 [78, 94]

284.437427421 6.37858228211 [95, 85]
109.823288622 30.1150402274 [77, 68]
32.7271747628 53.8940632173 [63, 67]
89.123696328 31.3617858845 [74, 79]
72.64285955 35.9372098217 [75, 74]
23.8535817167 70.6063596046 [61, 68]
49.9131490136 48.1197785861 [80, 61]
2.82787328528 104.755410623 [56, 57]
172.438684709 7.71927443873 [78, 94]
287.3925 5.598125 [86, 99]

293.131019249 5.71429309926 [95, 85]
117.106203332 29.7394588899 [77, 68]
39.3872434386 53.8077074462 [63, 67]
96.2393826478 31.0013687832 [74, 79]
79.625400069 35.6324438537 [75, 74]
30.4419621847 70.723276415 [61, 68]
9.24639072847 105.287684222 [56, 57]
180.227458263 7.07129216844 [78, 94]
296.109965343 4.92434307225 [86, 99]
45.0 46.25 [60, 80]

317.392240336 8.24178938476 [95, 85]
142.820045256 32.2427618485 [77, 68]
65.7424505015 56.2867736935 [63, 67]
122.125425169 33.5034009992 [74, 79]
105.648547221 38.12981258 [75, 74]
56.8709889637 73.1853086949 [61, 68]
35.8503310763 107.714910165 [56, 57]
205.420400621 9.59742195672 [78, 94]
320.346603083 7.45263483693 [86, 99]
71.3088885533 48.736676854 [60, 80]

342.90370596 12.7243762004 [95, 85]
167.287286169 36.7496761253 [77, 68]
89.7486424546 60.8180590564 [63, 67]
146.468878708 38.0115930639 [74, 79]
129.89344232 42.64269399 [75, 74]
80.824115196 77.733722466 [61, 68]
59.6777196997 112.298323249 [56, 57]
230.262093135 14.0813828458 [78, 94]
345.875740585 11.934421763 [86, 99]
95.3483768292 53.260309415 [60, 80]

164.944593281 35.6782633338 [77, 68]
88.1213308025 59.6027686466 [63, 67]
144.318259055 36.9326366994 [74, 79]
127.895749718 41.5360535151 [75, 74]
79.2791423499 76.4173124517 [61, 68]
58.3278461462 110.77529061 [56, 57]
227.338386793 13.1454781213 [78, 94]
93.6694013266 52.0901982356 [60, 80]
261.54 1.385 [90, 94]

177.787738361 35.8075421137 [77, 68]
101.799832043 59.7432819759 [63, 67]
157.385689524 37.0625045121 [74, 79]
141.14175428 41.6680830157 [75, 74]
93.0537912465 76.5657216109 [61, 68]
72.3303139847 110.939833704 [56, 57]
239.503078002 13.2641758803 [78, 94]
107.287574293 52.2271837868 [60, 80]
273.332791768 1.49817523423 [90, 94]

108.842253525 61.2279276052 [63, 67]
148.074750613 43.1852002906 [75, 74]
79.4547016289 112.332506001 [56, 57]
114.314732234 53.7253318997 [60, 80]
279.898113542 3.08745675002 [90, 94]
80.0325 7.758125 [83, 78]

151.915779058 43.0259510678 [75, 74]
83.8639491308 111.964826963 [56, 57]
282.647557995 3.04907362861 [90, 94]
84.436962952 7.70566314466 [83, 78]
22.185 36.04625 [77, 65]

91.3100218535 112.991125251 [56, 57]
288.442029222 5.23717246202 [90, 94]
91.8782747667 9.84409029996 [83, 78]
30.1435347171 37.8823691028 [77, 65]

299.182335359 8.10098136189 [90, 94]
102.598980759 12.6922782567 [83, 78]
40.8580848959 40.6354860436 [77, 65]

313.816808869 9.96250362879 [90, 94]
115.74987297 14.5660626889 [83, 78]
53.5430290174 42.5838995493 [77, 65]

307.548585985 7.54081953279 [90, 94]
108.7114597 12.1667117269 [83, 78]
103.2525 18.063125 [70, 89]
42.705 23.17625 [69, 81]

296.927406605 6.64156316552 [90, 94]
97.5227454304 11.2770365372 [83, 78]
92.0482043842 17.1856624991 [70, 89]
31.3278854578 22.3093778363 [69, 81]

276.13862072 2.7961246921 [90, 94]
76.2807008676 7.44868150429 [83, 78]
70.7937158633 13.3790829468 [70, 89]
9.9353760333 18.5216810775 [69, 81]

271.462460606 2.37683091307 [90, 94]
71.2262929583 7.03201049291 [83, 78]
65.7289233769 12.9657550575 [70, 89]
4.75540405921 18.1112522049 [69, 81]

262.175333439 -1.33994288871 [90, 94]
62.7396181163 3.32266329534 [83, 78]
57.2642244962 9.2658742127 [70, 89]
-3.46555066745 14.4195801886 [69, 81]

274.276525986 -1.11735832862 [90, 94]
73.6661020124 3.57706396463 [83, 78]
68.1584574375 9.56082942169 [70, 89]
7.07097406627 14.7497026122 [69, 81]
148.6125 2.403125 [82, 89]

270.662135589 -0.787847438573 [90, 94]
69.7702282112 3.89290203333 [83, 78]
64.2548556702 9.85923937017 [70, 89]
3.08165834426 15.0329996177 [69, 81]
144.821786075 2.72238224506 [82, 89]

280.283618947 0.526695358236 [90, 94]
80.1527095782 5.18978439987 [83, 78]
74.6582298028 11.1336107937 [70, 89]
13.7167624751 16.2878504853 [69, 81]
154.919964869 4.02368097339 [82, 89]
4.5 63.125 [62, 66]

286.077668036 0.0773636468791 [90, 94]
85.7716112028 4.73854518783 [83, 78]
80.2723228538 10.6799401778 [70, 89]
19.2775217185 15.8320714568 [69, 81]
160.60430014 3.57291877199 [82, 89]
10.0526930603 62.6500615915 [62, 66]

290.786963722 2.42895500454 [90, 94]
90.3924319983 7.10317468844 [83, 78]
84.8907146217 13.0611888031 [70, 89]
23.8689721723 18.2277314976 [69, 81]
165.258174424 5.93428781092 [82, 89]
14.6400689207 65.1766797688 [62, 66]

295.0307703 2.67868416015 [90, 94]
94.966454061 7.33986327248 [83, 78]
89.4738025618 13.2812551668 [70, 89]
28.5526133765 18.4333837613 [69, 81]
169.708830708 6.17423746397 [82, 89]
19.3389177593 65.2513495025 [62, 66]

290.221734109 0.530067269456 [90, 94]
89.7494761756 5.19930809232 [83, 78]
84.2456248704 11.1509758804 [70, 89]
23.2002141666 16.3120153039 [69, 81]
164.644256472 4.03166628364 [82, 89]
13.967731338 63.2109547382 [62, 66]
238.2525 2.313125 [95, 86]

291.80577774 -0.0605738287416 [90, 94]
89.9718934884 4.64604689697 [83, 78]
84.4306595105 10.6453611382 [70, 89]
22.97062267 15.8477175892 [69, 81]
165.375366134 3.46905745791 [82, 89]
13.6754319549 63.1221094507 [62, 66]
239.483563734 1.73675828329 [95, 86]

287.734329834 -0.363906858686 [90, 94]
86.3441780694 4.33841405817 [83, 78]
80.8151265134 10.3322475296 [70, 89]
19.490209775 15.5298512845 [69, 81]
161.581875922 3.16249987669 [82, 89]
10.2154545685 62.761054867 [62, 66]
235.527146395 1.43178327176 [95, 86]

294.930719849 0.253019074772 [90, 94]
93.4872505735 4.94904631925 [83, 78]
87.9567352157 10.9348575343 [70, 89]
26.6155828675 16.1255047212 [69, 81]
168.744867407 3.77470600284 [82, 89]
17.3383721941 63.2934931964 [62, 66]
176.6925 0.423125 [89, 86]

299.523697616 1.14766436396 [90, 94]
98.5137010347 5.84032905497 [83, 78]
92.9950864221 11.8218541768 [70, 89]
31.7859299864 17.0087846416 [69, 81]
173.609376049 4.66682961573 [82, 89]
22.5286823206 64.1429988487 [62, 66]
181.539906664 1.31764848617 [89, 86]

307.041543345 2.61378424076 [90, 94]
105.862821867 7.31222943418 [83, 78]
100.339575009 13.3011226982 [70, 89]
