-9.03556994032 -0.594789308769 [13, 89, 29]
-11.1852808325 11.2391389284 [171, 71, 69]
-15.6811851796 2.10688929159 [128, 86, 89]
-8.52789067981 -0.980708409616 [103, 28, 170]


-15.6811851796 2.10688929159 [128, 86, 89]
-9.39677673302 -2.01196935658 [46, 77, 7]
-7.31038245046 -5.65212593487 [134, 196, 74]
-8.58634558259 -3.14684551355 [169, 166, 135]
-11.0039895735 1.06331064561 [134, 96, 6]


-15.6811851796 2.10688929159 [128, 86, 89]
-9.39677673302 -2.01196935658 [46, 77, 7]
-7.31038245046 -5.65212593487 [134, 196, 74]
-8.58634558259 -3.14684551355 [169, 166, 135]
-11.0039895735 1.06331064561 [134, 96, 6]
-10.3954660113 -0.318253242512 [137, 41, 83]


-15.6811851796 2.10688929159 [128, 86, 89]
-7.31038245046 -5.65212593487 [134, 196, 74]
-11.0039895735 1.06331064561 [134, 96, 6]
-13.7280207132 -4.63057244117 [134, 89, 62]


-15.6811851796 2.10688929159 [128, 86, 89]
-7.31038245046 -5.65212593487 [134, 196, 74]
-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]
-11.0165055234 -5.97110319917 [13, 75, 74]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]
-11.0165055234 -5.97110319917 [13, 75, 74]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]
-11.0165055234 -5.97110319917 [13, 75, 74]
-18.6562685719 0.266921016199 [104, 100, 90]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]
-11.0165055234 -5.97110319917 [13, 75, 74]
-18.6562685719 0.266921016199 [104, 100, 90]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]
-11.0165055234 -5.97110319917 [13, 75, 74]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-7.48532154049 -6.82300549069 [15, 20, 79]
-11.0165055234 -5.97110319917 [13, 75, 74]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-11.0165055234 -5.97110319917 [13, 75, 74]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.2133222851 -5.40394722303 [82, 87, 36]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.2133222851 -5.40394722303 [82, 87, 36]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.2133222851 -5.40394722303 [82, 87, 36]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.2133222851 -5.40394722303 [82, 87, 36]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.2133222851 -5.40394722303 [82, 87, 36]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.4603288801 -5.44718318967 [51, 75, 92]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.4603288801 -5.44718318967 [51, 75, 92]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.4603288801 -5.44718318967 [51, 75, 92]


-17.0668591207 -2.78379724916 [75, 105, 95]
-14.9440281882 -5.40249651786 [81, 74, 103]
-18.6562685719 0.266921016199 [104, 100, 90]
-15.1114813864 -3.69688734022 [75, 116, 79]
-12.8986209385 -9.0086239577 [82, 61, 78]
-17.4160622976 -0.44505526895 [101, 99, 72]
-13.4603288801 -5.44718318967 [51, 75, 92]
