-6.85839035974 -0.312439814182 [33, 32, 1]
-10.5432892498 6.25639547239 [87, 64, 8]
-6.35917903457 -4.29204929702 [15, 17, 173]
-10.9076572039 -2.63332321764 [132, 130, 25]


-10.9076572039 -2.63332321764 [132, 130, 25]
-12.8296403935 0.666706368428 [132, 123, 144]
-9.83953965104 -5.66851027786 [32, 45, 86]
-14.0152375744 2.01036139849 [78, 68, 95]
-11.6234013132 -4.66718709933 [96, 78, 1]


-9.83953965104 -5.66851027786 [32, 45, 86]
-14.0152375744 2.01036139849 [78, 68, 95]
-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-13.1307541792 -1.23308825295 [71, 98, 157]
-13.3758972205 0.906437811525 [173, 96, 115]
-11.6133853855 -5.64037655756 [26, 76, 74]


-9.83953965104 -5.66851027786 [32, 45, 86]
-14.0152375744 2.01036139849 [78, 68, 95]
-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-13.1307541792 -1.23308825295 [71, 98, 157]
-13.3758972205 0.906437811525 [173, 96, 115]
-11.6133853855 -5.64037655756 [26, 76, 74]
-8.85976349028 -6.5761959923 [1, 152, 74]


-9.83953965104 -5.66851027786 [32, 45, 86]
-14.0152375744 2.01036139849 [78, 68, 95]
-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-13.1307541792 -1.23308825295 [71, 98, 157]
-13.3758972205 0.906437811525 [173, 96, 115]
-11.6133853855 -5.64037655756 [26, 76, 74]
-8.85976349028 -6.5761959923 [1, 152, 74]


-9.83953965104 -5.66851027786 [32, 45, 86]
-14.0152375744 2.01036139849 [78, 68, 95]
-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-13.3758972205 0.906437811525 [173, 96, 115]
-11.6133853855 -5.64037655756 [26, 76, 74]
-8.85976349028 -6.5761959923 [1, 152, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]


-9.83953965104 -5.66851027786 [32, 45, 86]
-14.0152375744 2.01036139849 [78, 68, 95]
-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-8.85976349028 -6.5761959923 [1, 152, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]


-14.0152375744 2.01036139849 [78, 68, 95]
-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]
-18.0938438822 3.36006368646 [104, 97, 115]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-13.8742564299 -1.17060575333 [59, 89, 71]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]
-18.0938438822 3.36006368646 [104, 97, 115]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]
-18.0938438822 3.36006368646 [104, 97, 115]
-11.3862713486 -5.78719350577 [3, 79, 84]
-14.6505251987 -2.26837345056 [133, 103, 71]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]
-18.0938438822 3.36006368646 [104, 97, 115]
-11.3862713486 -5.78719350577 [3, 79, 84]
-14.6505251987 -2.26837345056 [133, 103, 71]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-11.6133853855 -5.64037655756 [26, 76, 74]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]
-18.0938438822 3.36006368646 [104, 97, 115]
-11.3862713486 -5.78719350577 [3, 79, 84]
-14.6505251987 -2.26837345056 [133, 103, 71]
-14.5842475569 -3.45213958007 [144, 84, 109]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]
-18.0938438822 3.36006368646 [104, 97, 115]
-14.6505251987 -2.26837345056 [133, 103, 71]
-14.5842475569 -3.45213958007 [144, 84, 109]
-12.0184019978 -6.1488761191 [158, 131, 78]


-12.7013381556 -5.35365442372 [62, 73, 135]
-12.9637002243 -4.67907221901 [145, 132, 107]
-13.6625927859 -3.82745778783 [90, 76, 146]
-11.2141996417 -9.33543558537 [173, 133, 78]
-17.8727044096 2.54102877151 [113, 104, 92]
-15.5608176652 0.966903732941 [92, 118, 75]
-15.840073703 2.20047274952 [107, 92, 63]
-18.0938438822 3.36006368646 [104, 97, 115]
