-9.69403800476 15.7604480606 [21, 66, 50]
-9.22613140743 14.9069487011 [65, 31, 65]
-7.71582368221 4.18565628131 [13, 57, 17]
-10.1864346173 -4.37504769434 [81, 59, 13]
-7.69219254689 -6.4335545247 [36, 40, 15]


-9.22613140743 14.9069487011 [65, 31, 65]
-10.1864346173 -4.37504769434 [81, 59, 13]
-7.69219254689 -6.4335545247 [36, 40, 15]
-11.675950279 1.03821835946 [100, 52, 64]


-10.1864346173 -4.37504769434 [81, 59, 13]
-7.69219254689 -6.4335545247 [36, 40, 15]
-11.675950279 1.03821835946 [100, 52, 64]
-11.3313139237 -2.84955924975 [133, 94, 13]


-10.1864346173 -4.37504769434 [81, 59, 13]
-7.69219254689 -6.4335545247 [36, 40, 15]
-11.675950279 1.03821835946 [100, 52, 64]
-11.3313139237 -2.84955924975 [133, 94, 13]


-10.1864346173 -4.37504769434 [81, 59, 13]
-7.69219254689 -6.4335545247 [36, 40, 15]
-11.675950279 1.03821835946 [100, 52, 64]
-11.3313139237 -2.84955924975 [133, 94, 13]


-10.1864346173 -4.37504769434 [81, 59, 13]
-7.69219254689 -6.4335545247 [36, 40, 15]
-11.3313139237 -2.84955924975 [133, 94, 13]
-11.8693462102 -3.43184678935 [74, 89, 17]
-12.830011621 0.728736275691 [72, 117, 45]


-10.1864346173 -4.37504769434 [81, 59, 13]
-7.69219254689 -6.4335545247 [36, 40, 15]
-11.8693462102 -3.43184678935 [74, 89, 17]
-12.830011621 0.728736275691 [72, 117, 45]
-11.8933531401 -3.18439573278 [62, 97, 32]


-7.69219254689 -6.4335545247 [36, 40, 15]
-12.830011621 0.728736275691 [72, 117, 45]
-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
-12.633149729 -7.567542535 [32, 81, 82]
-13.4006739561 -7.49448595815 [60, 73, 82]


-12.0321391704 -8.36034952764 [32, 74, 80]
