1897.8127 2021.4273 [2, 8, 113, 97, 52, 0]
728.1522 1045.8278 [105, 31, 75, 64, 4, 48]
700.8035 1091.919 [106, 101, 97, 16, 35, 105]


728.1522 1045.8278 [105, 31, 75, 64, 4, 48]
700.8035 1091.919 [106, 101, 97, 16, 35, 105]
-21.9454 1145.7854 [166, 139, 33, 69, 9, 92]
933.2359 1008.7466 [12, 18, 79, 13, 8, 13]


728.1522 1045.8278 [105, 31, 75, 64, 4, 48]
700.8035 1091.919 [106, 101, 97, 16, 35, 105]
-21.9454 1145.7854 [166, 139, 33, 69, 9, 92]
933.2359 1008.7466 [12, 18, 79, 13, 8, 13]
900.1336 1036.8889 [6, 108, 2, 4, 1, 51]


700.8035 1091.919 [106, 101, 97, 16, 35, 105]
933.2359 1008.7466 [12, 18, 79, 13, 8, 13]
-142.2674 98.0899 [85, 34, 73, 11, 6, 167]


933.2359 1008.7466 [12, 18, 79, 13, 8, 13]
-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-11.5466 77.1766 [43, 22, 88, 63, 81, 146]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-36.5142 52.5567 [21, 50, 69, 19, 9, 123]
-48.8557 88.3782 [66, 10, 86, 99, 29, 153]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-36.5142 52.5567 [21, 50, 69, 19, 9, 123]
-35.4782 14.2682 [21, 29, 19, 16, 14, 54]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-35.4782 14.2682 [21, 29, 19, 16, 14, 54]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-39.4139 37.2164 [19, 31, 21, 21, 17, 109]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]


-142.2674 98.0899 [85, 34, 73, 11, 6, 167]
-87.7416 79.5516 [6, 40, 28, 8, 51, 166]
-53.5677 46.8702 [64, 46, 14, 1, 64, 99]
-49.8474 10.3074 [15, 28, 39, 29, 7, 32]
-76.6993 47.6618 [8, 40, 11, 15, 11, 127]


