-897.2734 133.8334 [158, 1, 125, 1, 55, 148]
-639.6485 118.7385 [138, 134, 10, 63, 179, 10]
-29.003 7.8855 [28, 1, 45, 3, 16, 15]
-431.1458 58.0683 [121, 15, 156, 30, 21, 21]
-143.8234 47.0834 [85, 10, 174, 81, 33, 4]
-56.2018 11.4243 [16, 11, 64, 5, 64, 5]
-24.8378 6.7403 [26, 3, 1, 35, 34, 5]
-1578.5991 228.7416 [195, 187, 162, 79, 157, 47]
-355.9841 53.0741 [114, 15, 142, 66, 8, 2]
-114.0185 14.421 [0, 40, 3, 19, 75, 33]


-897.2734 133.8334 [158, 1, 125, 1, 55, 148]
-639.6485 118.7385 [138, 134, 10, 63, 179, 10]
-29.003 7.8855 [28, 1, 45, 3, 16, 15]
-431.1458 58.0683 [121, 15, 156, 30, 21, 21]
-24.8378 6.7403 [26, 3, 1, 35, 34, 5]
-1578.5991 228.7416 [195, 187, 162, 79, 157, 47]
-114.0185 14.421 [0, 40, 3, 19, 75, 33]
-392.4412 38.8412 [118, 20, 5, 22, 8, 4]
-454.7326 72.4426 [123, 32, 159, 43, 128, 10]
-48.5693 4.6893 [18, 6, 17, 3, 8, 16]
-77.7319 10.0419 [9, 23, 54, 1, 7, 34]


-897.2734 133.8334 [158, 1, 125, 1, 55, 148]
-431.1458 58.0683 [121, 15, 156, 30, 21, 21]
-1578.5991 228.7416 [195, 187, 162, 79, 157, 47]
-114.0185 14.421 [0, 40, 3, 19, 75, 33]
-392.4412 38.8412 [118, 20, 5, 22, 8, 4]
-454.7326 72.4426 [123, 32, 159, 43, 128, 10]
-48.5693 4.6893 [18, 6, 17, 3, 8, 16]
-104.4587 10.5012 [3, 11, 59, 9, 61, 13]
-1105.3881 138.0106 [172, 20, 13, 189, 177, 59]
-87.2958 6.1783 [5, 28, 22, 27, 3, 11]
-488.6014 63.0814 [128, 3, 54, 135, 5, 8]
-773.1001 101.1426 [150, 4, 8, 11, 17, 129]
-1177.0267 174.3092 [177, 9, 50, 157, 12, 165]


-431.1458 58.0683 [121, 15, 156, 30, 21, 21]
-1578.5991 228.7416 [195, 187, 162, 79, 157, 47]
-114.0185 14.421 [0, 40, 3, 19, 75, 33]
-392.4412 38.8412 [118, 20, 5, 22, 8, 4]
