-41.3211 73.1111 [61, 17, 8, 17, 24, 154]
-18.601 62.231 [27, 30, 100, 71, 27, 130]


-35.2797 14.4897 [18, 28, 54, 71, 4, 26]
-11.5197 13.9022 [40, 8, 75, 47, 2, 13]
-84.2825 11.1925 [7, 46, 1, 0, 18, 34]


-11.5197 13.9022 [40, 8, 75, 47, 2, 13]
-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
-174.5362 79.9987 [89, 27, 108, 0, 92, 127]


-84.2825 11.1925 [7, 46, 1, 0, 18, 34]
-158.9873 33.8498 [88, 26, 99, 25, 6, 29]
-19.6501 7.9726 [34, 17, 5, 0, 13, 25]
-131.6627 32.8027 [85, 33, 33, 63, 15, 40]
-91.1028 19.1253 [6, 34, 87, 2, 23, 51]
