0.092 1.75417461749 [46, 97, 136, 119, 38, 2, 18]
0.104 1.6359273725 [52, 21, 105, 20, 8, 106, 103]
0.118 1.17952626113 [59, 65, 13, 15, 11, 0, 77]
0.07 1.87133910852 [35, 121, 179, 4, 54, 73, 13]
0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.022 1.52277421322 [11, 20, 68, 24, 43, 60, 29]

0.104 1.6359273725 [52, 21, 105, 20, 8, 106, 103]
0.118 1.17952626113 [59, 65, 13, 15, 11, 0, 77]
0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.022 1.52277421322 [11, 20, 68, 24, 43, 60, 29]
0.268 0.848540372376 [134, 77, 126, 0, 13, 1, 37]

0.118 1.17952626113 [59, 65, 13, 15, 11, 0, 77]
0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.022 1.52277421322 [11, 20, 68, 24, 43, 60, 29]
0.268 0.848540372376 [134, 77, 126, 0, 13, 1, 37]
0.254 1.02458186392 [127, 16, 22, 94, 40, 84, 73]
0.114 1.46208451717 [57, 34, 17, 81, 6, 124, 30]

0.118 1.17952626113 [59, 65, 13, 15, 11, 0, 77]
0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.022 1.52277421322 [11, 20, 68, 24, 43, 60, 29]
0.254 1.02458186392 [127, 16, 22, 94, 40, 84, 73]
0.114 1.46208451717 [57, 34, 17, 81, 6, 124, 30]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]

0.118 1.17952626113 [59, 65, 13, 15, 11, 0, 77]
0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.022 1.52277421322 [11, 20, 68, 24, 43, 60, 29]
0.114 1.46208451717 [57, 34, 17, 81, 6, 124, 30]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]

0.118 1.17952626113 [59, 65, 13, 15, 11, 0, 77]
0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.114 1.46208451717 [57, 34, 17, 81, 6, 124, 30]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]

0.118 1.17952626113 [59, 65, 13, 15, 11, 0, 77]
0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.06 1.14653687533 [30, 32, 31, 36, 1, 48, 20]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.06 1.14653687533 [30, 32, 31, 36, 1, 48, 20]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]
0.212 0.949368850499 [106, 27, 15, 113, 14, 7, 28]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]
0.212 0.949368850499 [106, 27, 15, 113, 14, 7, 28]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]
0.212 0.949368850499 [106, 27, 15, 113, 14, 7, 28]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]
0.212 0.949368850499 [106, 27, 15, 113, 14, 7, 28]
0.462 0.540317073916 [231, 18, 138, 69, 28, 28, 22]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]
0.212 0.949368850499 [106, 27, 15, 113, 14, 7, 28]
0.462 0.540317073916 [231, 18, 138, 69, 28, 28, 22]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
0.026 1.07769002256 [13, 12, 4, 23, 3, 6, 45]
0.212 0.949368850499 [106, 27, 15, 113, 14, 7, 28]
0.462 0.540317073916 [231, 18, 138, 69, 28, 28, 22]

0.0 2.08 [0, 148, 25, 14, 118, 9, 46]
0.002 1.62878827604 [1, 51, 70, 40, 31, 11, 26]
0.41 0.751273831384 [205, 46, 9, 82, 4, 62, 36]
0.248 0.770866429117 [124, 29, 5, 146, 0, 15, 25]
0.206 1.01686865759 [103, 39, 9, 116, 23, 19, 6]
0.018 1.27880017348 [9, 73, 23, 40, 3, 0, 11]
0.22 0.894510553725 [110, 1, 33, 20, 79, 45, 29]
0.004 1.5546036734 [2, 32, 2, 3, 117, 10, 48]
0.446 0.596268207335 [223, 34, 53, 46, 27, 12, 154]
0.438 0.656043199072 [219, 63, 27, 41, 61, 16, 125]
